                domain                |         status          | count  
--------------------------------------+-------------------------+--------
 academic.oup.com                     |                         |   1243
 academic.oup.com                     | spn2-cdx-lookup-failure |    990
 aip.scitation.org                    |                         |    313
 aip.scitation.org                    | spn2-cdx-lookup-failure |    224
 ajps.uomustansiriyah.edu.iq          |                         |    235
 apps.crossref.org                    |                         |   1329
 apps.crossref.org                    | spn2-cdx-lookup-failure |    942
 apps.crossref.org                    | no-pdf-link             |    387
 archaeologydataservice.ac.uk         |                         |    422
 archaeologydataservice.ac.uk         | spn2-cdx-lookup-failure |    289
 arxiv.org                            |                         |   3512
 arxiv.org                            | spn2-cdx-lookup-failure |   2319
 arxiv.org                            | success                 |   1177
 assets.researchsquare.com            |                         |    571
 assets.researchsquare.com            | spn2-cdx-lookup-failure |    322
 assets.researchsquare.com            | success                 |    249
 brill.com                            |                         |    397
 brill.com                            | spn2-cdx-lookup-failure |    265
 cla.berkeley.edu                     |                         |    239
 classiques-garnier.com               |                         |    249
 cyberleninka.ru                      |                         |    340
 cyberleninka.ru                      | spn2-cdx-lookup-failure |    244
 dergipark.org.tr                     |                         |    468
 dergipark.org.tr                     | spn2-cdx-lookup-failure |    333
 dl.acm.org                           |                         |    592
 dl.acm.org                           | spn2-cdx-lookup-failure |    470
 doi.ala.org.au                       |                         |    288
 doi.ala.org.au                       | spn2-cdx-lookup-failure |    220
 doi.org                              |                         |   1107
 doi.org                              | terminal-bad-status     |    679
 doi.org                              | spn2-cdx-lookup-failure |    415
 downloads.hindawi.com                |                         |    279
 downloads.hindawi.com                | success                 |    267
 edbs.uomustansiriyah.edu.iq          |                         |    294
 edbs.uomustansiriyah.edu.iq          | spn2-cdx-lookup-failure |    209
 elibrary.kdpu.edu.ua                 |                         |    320
 elibrary.kdpu.edu.ua                 | spn2-cdx-lookup-failure |    233
 elibrary.ru                          |                         |    722
 elibrary.ru                          | spn2-cdx-lookup-failure |    505
 europepmc.org                        |                         |    986
 europepmc.org                        | spn2-cdx-lookup-failure |    681
 europepmc.org                        | success                 |    291
 figshare.com                         |                         |    377
 figshare.com                         | spn2-cdx-lookup-failure |    328
 fjfsdata01prod.blob.core.windows.net |                         |    255
 fjfsdata01prod.blob.core.windows.net | spn2-cdx-lookup-failure |    216
 hammer.purdue.edu                    |                         |    224
 ieeexplore.ieee.org                  |                         |   3904
 ieeexplore.ieee.org                  | spn2-cdx-lookup-failure |   2654
 ieeexplore.ieee.org                  | gateway-timeout         |    792
 ieeexplore.ieee.org                  | spn2-backoff            |    419
 journals.eco-vector.com              |                         |    428
 journals.eco-vector.com              | spn2-cdx-lookup-failure |    306
 journals.lww.com                     |                         |    727
 journals.lww.com                     | spn2-cdx-lookup-failure |    622
 journals.openedition.org             |                         |    806
 journals.openedition.org             | spn2-cdx-lookup-failure |    554
 journals.plos.org                    |                         |    348
 journals.plos.org                    | spn2-cdx-lookup-failure |    244
 kiss.kstudy.com                      |                         |    226
 kluwerlawonline.com                  |                         |    723
 kluwerlawonline.com                  | spn2-cdx-lookup-failure |    489
 kluwerlawonline.com                  | link-loop               |    203
 linkinghub.elsevier.com              |                         |    401
 linkinghub.elsevier.com              | spn2-backoff            |    342
 mdpi-res.com                         |                         |   1463
 mdpi-res.com                         | success                 |   1337
 muse.jhu.edu                         |                         |    346
 muse.jhu.edu                         | spn2-cdx-lookup-failure |    253
 onepetro.org                         |                         |    363
 onepetro.org                         | spn2-cdx-lookup-failure |    284
 online.ucpress.edu                   |                         |   1620
 online.ucpress.edu                   | spn2-cdx-lookup-failure |   1511
 onlinelibrary.wiley.com              |                         |   2913
 onlinelibrary.wiley.com              | spn2-cdx-lookup-failure |   2109
 onlinelibrary.wiley.com              | terminal-bad-status     |    787
 opendata.uni-halle.de                |                         |    519
 opendata.uni-halle.de                | spn2-cdx-lookup-failure |    343
 osf.io                               |                         |   1554
 osf.io                               | spn2-cdx-lookup-failure |   1350
